model_id,indicator_id,demand_component_id,purchased_region_id,purchased_industry_id,value
1,1,1,5,41,5.260698677544551e-11
1,1,1,5,42,2.6173778878720074e-05
1,1,1,5,43,0.0012528012275085
1,1,1,5,44,0.0003477560316048
1,1,1,5,45,0.0015573924510239
1,1,1,5,46,1.2636543355197404e-05
1,1,1,5,47,0.0004349586605294
1,1,1,5,48,8.785688166699484e-05
1,1,1,5,49,0.0002272829228893
1,1,1,5,50,3.3252001847973854e-05
1,1,1,5,51,2.919774781660424e-06
1,1,1,5,52,3.7108295088135335e-05
1,1,1,5,53,1.04093967162292e-05
1,1,1,5,54,0.0029256863145981
1,1,1,5,55,3.628233772626267e-05
1,1,1,5,56,5.8382246630613943e-08
1,1,1,5,57,3.503836691384537e-06
1,1,1,5,58,1.1958175226014142e-08
1,1,1,5,59,4.274091251882007e-06
1,1,1,5,60,7.611520686817519e-06
1,1,1,5,61,2.0585121467742067e-05
1,1,1,5,62,1.8974813648754215e-05
1,1,1,5,63,2.599142684033747e-05
1,1,1,5,64,0.0010417168382154
1,1,1,5,65,5.52968842365311e-05
1,1,1,5,66,4.56624500601303e-06
1,1,1,5,67,6.252038933439016e-05
1,1,1,5,68,2.840528555959345e-06
1,1,1,5,69,4.543982376963947e-05
1,1,1,5,70,8.37323257892884e-06
1,1,1,5,71,1.998043025677753e-05
1,1,1,5,72,2.9718186611560828e-05
1,1,1,5,73,7.5492899774575564e-06
1,1,1,5,74,2.2012590598489822e-06
1,1,1,5,76,1.0024188297170292e-05
1,1,1,5,77,2.494776678098115e-05
1,1,1,5,78,3.90613981230031e-06
1,1,1,5,79,8.4991109553546e-06
1,1,1,5,80,2.4222436117838593e-06
1,1,1,5,82,1.6319694628882965e-07
1,1,1,5,84,1.8280913182059783e-05
1,1,1,5,85,0.0004492141087094
1,1,1,5,86,0.0003345856912577
1,1,1,5,87,0.0020472594411153
1,1,1,5,88,0.0012427960422278
1,1,1,5,89,0.0014724196994891
1,1,1,5,90,2.1312065699767507e-05
1,1,1,5,91,7.632286118482887e-05
1,1,1,5,92,1.998832120154505e-05
1,1,1,5,93,3.306973042794902e-05
1,1,1,5,94,1.5979065282504896e-06
1,1,1,5,96,1.0585461707540018e-05
1,1,1,5,97,2.521424318157771e-07
1,1,1,5,98,2.068187914309005e-06
1,1,1,5,99,2.284324894394999e-07
1,1,1,5,100,1.4839733109237872e-08
1,1,1,5,101,2.076064745542071e-08
1,1,1,5,102,7.312749954789256e-06
1,1,1,5,103,3.687277069910409e-10
1,1,1,5,107,8.393821998866659e-07
1,1,1,5,108,3.882436263704686e-06
1,1,1,5,109,1.2254520546017354e-05
1,1,1,5,110,4.635574222157375e-06
1,1,1,5,111,1.707514460887882e-05
1,1,1,5,112,2.1457690980104204e-06
1,1,1,5,113,5.246620941007423e-05
1,1,1,5,114,1.0422684652359924e-08
1,1,1,5,115,3.016884120546912e-05
1,1,1,5,116,6.003277366488411e-06
1,1,1,5,117,0.0003472836826217
1,1,1,5,118,0.000194111651686
1,1,1,5,119,0.0087552695204873
1,1,1,5,120,0.0004337305603598
1,1,1,5,121,0.0038517494562912
1,1,1,5,122,2.6925772270105497e-06
1,1,1,5,123,1.9254078042756768e-06
1,1,1,5,124,2.0205099101647904e-08
1,1,1,5,125,1.5567926140409685e-05
1,1,1,5,126,0.0004375029541862
1,1,1,5,127,3.296917093407065e-05
1,1,1,5,128,1.3932152498900135e-06
1,1,1,5,129,4.515346788768298e-07
1,1,1,5,130,1.0123873675714722e-06
1,1,1,5,131,0.0005570967394268
1,1,1,5,132,1.377817434927319e-05
1,1,1,5,133,2.060301290067224e-05
1,1,1,5,134,0.0001880905205749
1,1,1,5,135,0.0016386553824745
1,1,1,5,136,2.10258982365383e-05
1,1,1,5,137,6.290960690437192e-05
1,1,1,5,138,1.5404494650510748e-05
1,1,1,5,139,6.127317054684074e-06
1,1,1,5,140,6.385583728882598e-06
1,1,1,5,141,1.9145902866570527e-06
1,1,1,5,142,1.6501957153848578e-06
1,1,1,5,143,2.68106042631861e-07
1,1,1,5,144,1.050430462645974e-06
1,1,1,5,145,2.947795561102404e-06
1,1,1,5,148,9.454775924936547e-06
1,1,1,5,149,2.9357249834081473e-06
1,1,1,5,151,3.630082227039925e-06
1,1,1,5,152,5.809163205162936e-06
1,1,1,5,153,5.101107586070648e-06
