model_id,capital_treatment_id,indicator_id,producing_region_id,producing_industry_id,value
1,4,2,3,136,7.728492920060439e-05
1,4,2,3,137,0.000345713886737
1,4,2,3,138,0.0003431367091709
1,4,2,3,139,1.6812502878855664e-05
1,4,2,3,140,7.405180491593197e-05
1,4,2,3,141,0.0006549230053861
1,4,2,3,142,8.73882302352625e-05
1,4,2,3,143,4.957448285953223e-06
1,4,2,3,144,0.0001154603940073
1,4,2,3,145,7.024931761424404e-05
1,4,2,3,149,1.7046408895905554e-05
1,4,2,3,151,0.0105140785245384
1,4,2,3,152,0.0210771302146708
1,4,2,3,153,1.3209539464461322
1,4,2,3,154,0.1071286011678966
1,4,2,3,155,0.0060371843630682
1,4,2,3,156,0.0002247070565119
1,4,2,3,157,0.0090080295146814
1,4,2,3,158,0.0272231113414388
1,4,2,3,159,0.0011098916662197
1,4,2,3,160,0.0012622671840939
1,4,2,3,161,0.0001997354074242
1,4,2,4,1,1.458456302513021e-14
1,4,2,4,2,0.0010432493814096
1,4,2,4,3,0.0013669429432401
1,4,2,4,4,0.0015008207886741
1,4,2,4,5,7.043560105234023e-06
1,4,2,4,6,3.45262489235854e-09
1,4,2,4,8,0.0001019368201235
1,4,2,4,9,0.0009365024427913
1,4,2,4,10,0.0007802499440623
1,4,2,4,11,0.0004715629818177
1,4,2,4,12,0.0021902690507403
1,4,2,4,13,2.288648371935929e-06
1,4,2,4,14,0.0193672711049566
1,4,2,4,15,2.1749387488195225e-07
1,4,2,4,18,4.237605455544012e-06
1,4,2,4,19,8.800559554646779e-06
1,4,2,4,20,3.2389641520594857e-05
1,4,2,4,25,8.74735434767941e-06
1,4,2,4,26,1.9618671569105353e-07
1,4,2,4,27,2.274915780023238e-05
1,4,2,4,28,0.0004643203864556
1,4,2,4,29,0.0020435477152625
1,4,2,4,30,0.0001305481299933
1,4,2,4,31,0.0005003639166626
1,4,2,4,32,6.107480714836467e-05
1,4,2,4,33,0.0178178194705185
1,4,2,4,34,0.0016233955754725
1,4,2,4,35,3.617362804731924e-05
1,4,2,4,36,4.47701658440828e-05
1,4,2,4,37,4.639893269765788e-05
1,4,2,4,38,6.75079918364962e-07
1,4,2,4,39,2.797579048581918e-05
1,4,2,4,40,0.0032985210436795
1,4,2,4,41,4.93565314083059e-05
1,4,2,4,42,9.217623381720848e-07
1,4,2,4,43,0.0003973705405695
1,4,2,4,44,0.0002117557531207
1,4,2,4,45,5.4797450511464726e-05
1,4,2,4,46,6.932540930162471e-06
1,4,2,4,47,1.8768631493291497e-05
1,4,2,4,48,8.628162639625044e-06
1,4,2,4,49,8.360098943258246e-08
1,4,2,4,50,0.001046608726818
1,4,2,4,51,3.53937656637295e-05
1,4,2,4,52,0.0003251528867851
1,4,2,4,53,2.948232752842183e-05
1,4,2,4,54,6.705748889550474e-06
1,4,2,4,55,0.0002195354630601
1,4,2,4,56,6.054889646495489e-09
1,4,2,4,57,0.0005150267686675
1,4,2,4,58,6.578949629451527e-06
1,4,2,4,59,6.811233341728696e-05
1,4,2,4,60,0.0003941117122403
1,4,2,4,62,0.0001454946483314
1,4,2,4,63,0.0004894949720737
1,4,2,4,64,0.0001323499013432
1,4,2,4,67,0.0007136847434274
1,4,2,4,68,0.0076776571234209
1,4,2,4,69,0.057203385705433
1,4,2,4,70,0.0074152105511824
1,4,2,4,71,0.0024628519661085
1,4,2,4,72,1.63959773841107e-06
1,4,2,4,74,0.002286831926719
