model_id,indicator_id,demand_component_id,producing_region_id,producing_industry_id,value
1,1,1,4,52,4.8426311155918857e-08
1,1,1,4,53,3.158108345464981e-06
1,1,1,4,54,4.2473072856252714e-07
1,1,1,4,55,1.407680579316262e-07
1,1,1,4,59,1.2548348358678477e-07
1,1,1,4,60,3.570071612665947e-07
1,1,1,4,62,2.389831956522456e-09
1,1,1,4,63,9.095670312450952e-07
1,1,1,4,64,5.424365631499812e-08
1,1,1,4,67,1.9519917390355655e-08
1,1,1,4,68,4.578100144037327e-08
1,1,1,4,69,1.692274882527551e-07
1,1,1,4,70,2.6436748041518117e-08
1,1,1,4,71,1.216233340486541e-07
1,1,1,4,72,1.0300011610222202e-06
1,1,1,4,74,1.0790392464758692e-11
1,1,1,4,76,1.8464823240350605e-08
1,1,1,4,78,1.8146296197354997e-11
1,1,1,4,80,3.4047625525863503e-09
1,1,1,4,82,3.059092208477477e-12
1,1,1,4,85,7.617765124143461e-07
1,1,1,4,86,1.166333734582412e-07
1,1,1,4,88,1.531890204864094e-08
1,1,1,4,89,4.530984615296671e-09
1,1,1,4,90,2.3638793877101174e-09
1,1,1,4,91,3.5911622748308864e-09
1,1,1,4,92,9.053383821855033e-10
1,1,1,4,93,3.368348527447561e-07
1,1,1,4,94,1.602164128813055e-11
1,1,1,4,117,4.192215350056362e-09
1,1,1,4,118,2.2321731383744452e-08
1,1,1,4,119,1.4377203426091931e-09
1,1,1,4,137,1.313057646427884e-15
1,1,1,4,138,1.0017949715670678e-10
1,1,1,4,139,8.89228002168804e-16
1,1,1,4,140,4.717791602922612e-16
1,1,1,4,142,9.128626504983127e-11
1,1,1,4,145,6.458999223833163e-13
1,1,1,4,149,3.123023239743347e-11
1,1,1,4,151,3.885051345702912e-11
1,1,1,4,152,5.560965445502897e-11
1,1,1,4,153,3.8557254694359016e-10
1,1,1,4,154,1.6494218748828224e-10
1,1,1,4,155,1.658360576294497e-12
1,1,1,4,156,1.619777415942991e-10
1,1,1,4,157,8.267923340917092e-11
1,1,1,4,158,3.5500221042646316e-11
