model_id,indicator_id,scope_id,producing_region_id,producing_industry_id,value
1,2,4,1,76,0.0020527225867456
1,2,4,1,77,0.1820064856245348
1,2,4,1,78,0.0001992127490599
1,2,4,1,79,0.0001447631012766
1,2,4,1,80,0.0047053487805569
1,2,4,1,81,0.0116016037550768
1,2,4,1,82,0.0093297049936338
1,2,4,1,84,0.0654603454748652
1,2,4,1,85,0.024922008471582
1,2,4,1,86,0.0176390261152112
1,2,4,1,87,0.0010214461114448
1,2,4,1,88,0.037844026878151
1,2,4,1,89,0.0079717387542532
1,2,4,1,90,0.0642479275146757
1,2,4,1,91,0.0019890725604037
1,2,4,1,92,0.0009097281297382
1,2,4,1,93,0.0053395855777192
1,2,4,1,94,0.0024447266911567
1,2,4,1,95,0.0003727486043275
1,2,4,1,96,0.2376545244139957
1,2,4,1,97,0.0963799364819023
1,2,4,1,99,0.0001954557569611
1,2,4,1,100,0.0051149781297635
1,2,4,1,101,0.0116107058179249
1,2,4,1,102,0.0635908525027932
1,2,4,1,103,0.0009089762227259
1,2,4,1,106,8.725356725956229e-06
1,2,4,1,108,0.0072958354005633
1,2,4,1,110,0.6286376282329762
1,2,4,1,111,0.2368570731594724
1,2,4,1,112,0.0052873503160377
1,2,4,1,113,0.0326697323942374
